;amount;current_paid_fee;day;hour;minute;second
25896;210;0;30;11;43;7
36867;41;0;11;1;14;6
34777;258;0;8;10;26;38
49951;132;2;27;10;37;45
2039;203;0;1;16;33;35
18128;189;0;20;11;47;7
13239;195;0;14;4;40;15
10519;171;0;10;14;22;4
25746;42;14;30;7;5;59
21629;86;0;24;20;17;54
46601;329;18;23;5;53;45
32778;297;2;6;5;13;27
45246;195;3;21;8;9;24
36256;196;0;10;10;17;3
34981;78;0;8;17;4;8
26808;93;3;0;11;18;30
13530;130;5;14;11;16;38
3501;102;5;2;23;10;26
42396;215;1;17;20;19;27
44727;242;6;20;15;5;34
16272;345;0;17;20;24;30
26409;193;4;0;2;22;15
19526;298;6;22;3;45;6
5217;233;1;4;18;2;1
12164;248;0;12;22;59;54
6763;137;0;6;15;10;42
37682;300;0;11;21;51;11
49158;279;0;26;11;19;39
45991;388;0;22;9;17;17
6582;242;0;6;10;27;47
40653;113;0;15;12;10;55
224;316;2;0;4;24;42
48029;235;0;25;4;14;6
36973;73;0;11;3;55;15
21521;195;0;24;16;22;42
44707;150;2;20;14;30;42
21065;47;8;24;0;58;21
10641;192;0;10;17;58;5
16291;161;0;17;20;59;35
35943;393;0;10;2;20;41
21293;259;0;24;8;16;49
11452;262;0;11;18;32;33
47168;272;8;24;3;47;14
25014;83;4;29;9;38;31
46899;266;4;23;18;29;46
24171;11;4;28;10;18;33
168;216;0;0;3;13;8
50186;191;0;27;17;11;33
48958;2;6;26;5;12;15
37698;246;0;11;22;23;39
27440;199;0;1;0;40;40
25775;152;2;30;8;0;39
38199;174;7;12;10;47;11
4696;135;0;4;3;41;49
39092;386;0;13;11;46;31
11453;66;0;11;18;33;56
42419;152;0;17;20;58;53
19518;182;0;22;3;33;41
25257;198;0;29;16;45;9
18007;100;0;20;8;28;42
35728;328;0;9;19;31;41
22943;211;0;26;22;20;17
47391;169;2;24;9;45;30
15866;200;0;17;8;20;31
37270;246;0;11;11;58;24
35006;147;0;8;17;44;35
6091;210;0;5;21;30;27
32491;211;16;5;22;34;43
31281;104;12;4;18;8;36
38436;362;0;12;16;57;38
9575;239;2;9;13;23;43
48922;235;0;26;3;58;13
46915;89;0;23;18;59;36
7344;124;0;7;4;30;22
49734;306;0;27;4;7;15
7636;307;0;7;11;21;33
21819;220;11;25;2;24;39
40365;196;2;15;2;17;28
47999;190;0;25;3;23;23
15745;123;0;17;4;4;29
36959;208;2;11;3;37;52
23066;224;0;27;2;37;4
49142;158;0;26;10;46;16
25035;302;0;29;10;15;34
10194;178;4;10;4;49;14
31531;91;0;5;0;11;29
26741;224;0;0;10;0;28
1665;81;6;1;8;36;17
33677;106;4;7;3;36;28
4371;260;6;3;19;42;45
36003;204;0;10;3;57;26
35357;153;2;9;5;28;31
13684;139;0;14;15;56;2
31309;265;2;4;18;49;21
35938;248;2;10;2;14;26
33421;348;0;6;21;22;41
38873;303;10;13;5;38;58
759;156;2;0;14;21;6
28162;271;0;1;17;25;17
30296;111;2;3;20;18;51
29041;14;2;2;15;31;14
17585;377;1;19;18;47;59
33283;176;2;6;17;54;42
4284;269;20;3;17;25;59
33978;170;0;7;11;28;26
29789;264;0;3;9;20;26
33306;48;0;6;18;32;43
22817;135;0;26;17;1;51
19046;173;7;21;13;47;46
12675;164;0;13;14;11;57
50400;117;0;27;23;34;46
1978;121;7;1;15;15;38
47536;221;0;24;14;10;22
46640;230;0;23;7;34;54
955;217;0;0;17;54;46
11456;205;2;11;18;35;45
18721;286;0;21;4;26;29
227;158;0;0;4;26;17
30919;279;0;4;10;15;43
42943;181;0;18;11;43;40
33208;67;7;6;16;11;4
43479;146;8;19;3;33;58
26522;99;4;0;4;49;53
24361;432;0;28;15;20;29
26516;314;12;0;4;39;39
4317;329;2;3;18;21;40
18912;181;0;21;9;23;40
2420;155;0;2;0;4;40
47093;165;0;24;1;44;16
39192;122;0;13;15;22;29
27936;78;0;1;12;54;8
12368;31;0;13;5;22;0
49219;228;0;26;12;57;31
34575;11;0;8;4;4;52
4452;160;2;3;21;32;36
33771;234;0;7;5;38;8
46405;150;4;22;22;22;17
37940;147;1;12;4;20;9
1075;200;2;0;20;19;19
17188;132;4;19;3;37;38
16099;207;6;17;15;33;13
27320;276;2;0;22;17;14
30670;161;3;4;4;28;54
38854;128;2;13;4;56;1
25973;215;0;30;14;14;45
5312;336;0;4;20;48;54
43755;177;1;19;12;12;19
39868;372;0;14;12;29;10
11051;329;0;11;5;38;15
15432;74;0;16;17;9;18
47796;243;0;24;21;39;37
9028;175;2;8;22;32;37
26161;50;1;30;19;36;12
27403;148;4;0;23;48;45
836;207;3;0;15;58;12
16037;4;0;17;13;35;2
23138;234;9;27;4;14;57
19757;142;2;22;10;13;55
4734;43;0;4;4;42;12
38058;277;2;12;7;8;19
29707;225;1;3;7;26;44
10212;151;2;10;5;21;14
30370;158;2;3;21;50;19
29941;9;4;3;12;30;25
39735;187;0;14;8;11;46
25195;259;0;29;15;3;57
45438;73;0;21;14;17;12
47145;290;2;24;3;18;8
19300;239;0;21;20;44;40
29853;251;8;3;10;46;3
29804;145;2;3;9;39;7
32153;9;0;5;14;32;6
17495;231;1;19;14;40;18
39672;285;6;14;5;38;22
48476;259;0;25;15;45;50
33476;247;2;6;22;39;22
21472;263;5;24;14;30;33
24631;319;3;28;22;26;38
10624;289;0;10;17;11;54
30114;286;4;3;16;7;28
38585;160;0;12;21;4;0
17383;111;5;19;10;25;31
43473;4;0;19;3;28;50
47432;419;0;24;10;59;7
8638;230;12;8;12;6;12
27438;184;0;1;0;39;22
234;152;0;0;4;31;35
39800;139;1;14;9;57;51
29477;177;2;3;2;37;52
3721;263;0;3;4;28;45
45965;302;0;22;8;22;59
50100;186;0;27;14;41;1
1394;223;3;1;3;6;36
4715;352;2;4;4;12;40
38857;155;0;13;5;3;18
47325;293;0;24;8;0;58
43906;214;6;19;15;55;22
5120;84;2;4;14;48;1
10555;174;14;10;15;25;8
25094;222;0;29;12;1;44
44336;241;0;20;3;26;51
48461;166;0;25;15;21;42
44326;182;12;20;3;13;43
43589;149;0;19;7;8;5
38089;310;0;12;8;5;4
6602;268;0;6;10;50;15
35094;214;0;8;20;22;6
36594;88;4;10;18;14;45
7445;294;2;7;7;9;39
15778;110;10;17;5;26;16
9309;64;4;9;6;14;37
27613;320;2;1;4;38;15
23003;240;6;27;0;29;28
41957;218;4;17;8;1;45
34960;73;0;8;16;18;53
635;322;2;0;12;6;14
20428;198;0;23;5;36;36
44427;129;0;20;6;2;42
45645;222;0;21;20;52;41
21437;289;12;24;13;0;25
36005;144;0;10;4;2;26
6495;119;2;6;8;5;51
23891;115;0;28;2;27;24
45986;229;2;22;9;2;40
25246;52;0;29;16;30;1
37234;160;0;11;11;0;32
25540;143;1;30;1;6;17
37914;294;0;12;3;35;16
529;194;25;0;10;7;32
32715;332;0;6;3;48;12
47678;188;6;24;18;14;22
42591;64;0;18;2;1;17
18317;218;0;20;17;22;20
31726;176;2;5;4;33;36
34209;236;2;7;17;55;55
34224;390;0;7;18;13;6
24838;250;0;29;4;17;45
29243;259;0;2;20;32;8
22355;176;0;25;22;56;31
36773;244;6;10;22;53;1
48516;141;2;25;17;3;35
30671;141;0;4;4;32;31
38991;175;1;13;8;33;35
43506;214;0;19;4;37;37
41190;189;2;16;6;32;10
44492;115;4;20;7;59;11
42912;220;10;18;10;51;49
10168;310;0;10;4;21;13
48357;235;0;25;12;17;20
11909;234;0;12;12;16;49
30339;169;0;3;21;14;55
29650;231;0;3;6;5;3
24873;288;2;29;4;59;0
21432;219;0;24;12;51;17
33567;166;14;7;0;44;49
6918;148;0;6;18;42;51
38499;261;0;12;18;45;0
45474;239;0;21;15;23;16
47041;115;4;24;0;14;8
34223;333;2;7;18;9;57
41469;29;0;16;16;44;6
6785;233;4;6;15;39;7
43305;294;0;18;22;41;32
49641;203;12;27;1;14;56
24679;125;1;28;23;46;31
36797;335;0;10;23;23;37
21338;218;0;24;9;37;48
41359;0;1;16;13;32;26
9749;315;2;9;17;50;59
28117;187;6;1;16;28;15
18406;79;3;20;19;34;16
42464;317;0;17;22;12;57
828;298;19;0;15;48;51
47101;267;0;24;1;55;47
49759;169;0;27;4;47;25
35543;218;0;9;12;46;8
42493;219;0;17;23;6;6
35160;312;2;8;22;30;3
4542;190;3;3;23;28;6
7153;164;2;6;23;47;26
16586;357;4;18;7;6;58
26207;327;7;30;21;17;3
5593;231;2;5;5;28;48
6919;189;0;6;18;45;20
44406;312;0;20;5;28;20
18818;110;0;21;6;51;29
11956;100;0;12;14;11;38
42714;159;0;18;5;32;54
23775;335;0;27;23;2;32
23169;238;4;27;5;11;4
18214;139;0;20;14;34;13
6335;163;1;6;3;59;35
21005;151;0;23;23;27;2
45150;150;6;21;4;38;33
6357;223;2;6;4;35;12
22521;182;0;26;4;20;39
11006;353;4;11;4;14;49
18934;154;2;21;10;7;37
36180;120;1;10;8;30;8
28107;120;1;1;16;16;45
31136;131;1;4;15;6;47
14331;113;0;15;10;3;9
7716;111;1;7;13;21;21
19750;94;0;22;10;4;51
40717;245;0;15;14;5;53
40541;122;0;15;8;32;13
35516;135;4;9;11;57;4
20233;139;0;22;23;37;0
35120;94;0;8;21;5;34
21485;245;0;24;15;8;11
34795;159;0;8;11;10;40
24144;298;0;28;9;36;14
49218;228;14;26;12;56;31
19057;98;0;21;14;6;2
40134;261;0;14;19;21;17
46692;333;2;23;9;48;10
26358;146;1;0;1;11;35
34802;261;0;8;11;20;20
41284;156;0;16;10;46;4
23538;254;1;27;15;44;32
26528;232;2;0;4;59;11
34011;282;2;7;12;14;32
12394;106;0;13;6;5;49
48595;289;0;25;19;10;18
23295;108;0;27;9;30;5
13351;143;7;14;7;14;1
1119;284;3;0;21;14;47
41411;192;0;16;14;53;34
8164;314;2;7;23;49;21
44947;246;2;20;22;23;48
28136;371;8;1;16;54;10
35730;328;4;9;19;32;20
21821;122;2;25;2;30;29
17001;21;4;18;20;42;39
43629;269;0;19;8;12;39
6157;66;0;5;23;33;19
23175;351;4;27;5;18;13
22849;188;2;26;18;32;35
6685;190;4;6;13;10;24
2030;221;0;1;16;16;48
35956;140;4;10;2;39;18
27975;208;0;1;13;43;33
46263;260;2;22;17;58;14
13366;219;14;14;7;32;39
30458;205;2;4;0;8;28
9881;290;1;9;21;5;41
43354;351;0;19;0;20;4
23907;175;3;28;2;46;55
34559;22;10;8;3;40;49
2225;208;4;1;20;20;34
32682;43;0;6;2;58;48
22006;16;0;25;9;57;39
35054;367;0;8;19;3;49
18422;0;2;20;19;59;2
3590;202;2;3;1;21;49
19147;260;0;21;16;40;36
37640;360;4;11;21;0;14
25262;96;3;29;16;50;50
25261;96;2;29;16;50;44
31165;148;0;4;15;41;40
3328;246;0;2;19;23;46
39124;329;0;13;12;41;47
37156;236;3;11;8;35;5
7299;220;4;7;3;38;44
2324;173;0;1;22;31;11
24740;125;0;29;1;36;31
26752;41;11;0;10;12;2
27948;52;0;1;13;12;1
40492;30;0;15;6;59;40
34037;184;0;7;13;4;28
4043;224;2;3;11;52;1
24812;368;0;29;3;19;34
46750;430;2;23;12;7;6
27492;177;6;1;1;52;43
9329;260;0;9;6;51;56
16862;294;2;18;16;19;9
45584;150;0;21;18;46;59
5043;333;0;4;12;52;33
44744;151;0;20;15;23;11
39366;159;0;13;20;16;8
19845;195;0;22;12;58;29
25308;148;4;29;18;15;30
27639;279;4;1;5;22;8
15161;220;2;16;9;6;7
21572;23;4;24;18;13;30
43958;205;0;19;17;25;7
40272;88;0;14;23;7;7
35293;125;2;9;3;6;14
2047;219;2;1;16;43;54
1495;129;0;1;5;23;15
35726;91;0;9;19;20;57
43869;231;9;19;15;8;15
14450;312;10;15;13;45;15
17329;310;0;19;8;26;5
13813;85;0;14;19;27;49
8839;143;0;8;17;30;45
970;67;2;0;18;11;54
20642;317;0;23;12;7;55
33345;300;2;6;19;26;11
26981;169;0;0;14;50;37
23950;116;0;28;3;48;44
19765;119;0;22;10;32;39
42067;234;0;17;11;7;49
28043;236;2;1;15;4;50
8773;280;0;8;15;43;26
43311;192;4;18;22;49;52
28608;89;4;2;4;12;13
42412;169;4;17;20;50;27
19941;273;0;22;15;10;9
23167;238;0;27;5;9;44
9201;293;1;9;2;58;43
7826;124;6;7;15;38;34
40847;67;0;15;17;36;38
8242;135;0;8;1;49;41
46164;140;0;22;14;56;57
21836;340;0;25;3;28;34
4015;181;0;3;10;54;22
7500;35;0;7;8;28;32
20934;294;2;23;21;20;0
4278;197;4;3;17;22;25
44622;247;0;20;11;44;52
18784;224;0;21;6;15;21
16710;276;2;18;11;6;31
22628;213;0;26;8;54;48
34556;22;0;8;3;39;41
41029;115;10;16;0;9;16
38121;31;0;12;9;9;47
18277;198;8;20;16;30;20
46735;233;2;23;11;39;54
47565;194;0;24;14;50;35
31242;129;0;4;17;11;48
43911;391;10;19;16;4;19
40805;226;0;15;16;13;31
37771;48;2;12;0;6;11
26770;114;15;0;10;32;51
21129;49;0;24;2;59;18
28009;320;2;1;14;14;1
49944;263;0;27;10;20;39
4313;367;0;3;18;16;35
20678;327;14;23;13;1;30
43450;114;12;19;2;54;56
5870;275;0;5;14;11;18
23179;97;0;27;5;32;50
33999;362;0;7;11;50;12
36970;147;0;11;3;49;16
41813;354;2;17;3;55;40
40338;260;0;15;1;31;24
4698;153;2;4;3;44;50
11137;29;0;11;8;3;3
21138;63;1;24;3;8;26
46004;142;0;22;9;47;35
275;169;0;0;5;16;31
35750;236;7;9;20;2;57
40741;150;0;15;14;40;42
22549;265;0;26;5;49;51
15133;161;0;16;8;32;3
29652;226;0;3;6;10;15
13309;325;4;14;6;14;32
46500;195;5;23;1;31;48
46056;273;1;22;11;26;58
12698;14;2;13;14;50;7
32605;172;4;6;0;54;40
11599;186;6;12;0;38;8
31965;413;0;5;10;22;12
43953;157;0;19;17;16;9
22843;155;0;26;18;13;0
22759;22;0;26;14;47;18
49445;248;0;26;19;32;17
36553;396;12;10;17;26;14
2661;180;2;2;5;0;47
23076;145;8;27;2;47;5
2748;132;0;2;6;57;0
19449;155;4;22;1;10;50
45081;238;2;21;2;29;39
24213;142;0;28;11;23;51
7669;260;0;7;12;29;21
34221;498;0;7;18;8;9
34571;308;3;8;3;58;37
24292;163;0;28;13;37;10
17390;131;1;19;10;36;13
10232;80;0;10;5;52;0
33485;9;0;6;22;52;58
9668;288;0;9;15;57;6
11454;66;1;11;18;34;24
12367;67;6;13;5;19;49
50307;170;2;27;20;51;3
41854;255;0;17;5;9;9
21002;70;0;23;23;18;53
16518;149;0;18;5;7;6
45167;106;0;21;5;24;40
29419;236;2;3;1;24;0
11169;196;0;11;8;56;52
3351;304;1;2;19;53;11
435;195;0;0;8;32;27
41272;139;0;16;10;20;14
22661;160;2;26;10;44;3
36544;474;8;10;17;11;47
17148;164;0;19;2;0;0
28683;206;0;2;6;11;11
11074;230;0;11;6;15;23
2594;160;5;2;3;35;18
3422;292;0;2;21;3;40
11518;204;8;11;21;6;38
48163;99;1;25;7;52;8
33886;243;0;7;9;6;49
8797;91;0;8;16;17;26
37582;291;2;11;19;31;2
16700;103;1;18;10;52;35
39308;243;0;13;18;32;59
146;123;2;0;2;39;30
43804;91;0;19;13;21;0
26282;163;0;30;23;23;19
10495;128;0;10;13;37;40
22737;180;0;26;13;56;55
11114;204;0;11;7;14;14
43393;256;0;19;1;24;2
13481;261;2;14;10;24;58
25043;203;2;29;10;26;2
46469;194;8;23;0;26;52
34107;188;0;7;15;29;52
49611;63;0;27;0;21;22
27162;238;13;0;18;53;6
42576;177;0;18;1;31;21
5359;360;0;4;22;7;46
48745;281;2;25;23;6;44
32905;155;4;6;8;13;34
25147;285;4;29;13;28;12
8614;208;5;8;11;31;40
39268;228;0;13;17;33;31
17386;230;0;19;10;27;43
46335;194;0;22;20;27;50
49725;347;0;27;3;34;10
7799;188;0;7;15;9;44
45828;237;1;22;3;43;7
7824;124;0;7;15;37;6
35937;248;0;10;2;14;17
3868;134;2;3;7;37;26
4649;196;0;4;2;8;49
49097;280;6;26;9;24;25
27622;24;0;1;5;0;22
9544;163;8;9;12;28;52
2737;272;0;2;6;44;56
3111;269;0;2;15;12;25
11862;235;0;12;10;51;43
35885;270;0;10;0;51;8
34659;145;0;8;6;30;59
7952;37;0;7;18;40;49
5970;96;0;5;17;14;49
14994;119;0;16;4;10;41
34992;105;0;8;17;21;18
17956;234;0;20;7;4;56
31023;393;2;4;12;44;12
41127;242;0;16;3;50;35
76;304;15;0;1;21;43
6628;291;2;6;11;29;41
44499;323;0;20;8;23;35
29366;288;0;3;0;6;0
14147;247;2;15;5;9;56
10687;235;0;10;19;30;0
36265;14;4;10;10;23;5
32035;190;0;5;11;54;34
3005;168;4;2;12;30;10
10543;155;0;10;15;8;33
9276;248;10;9;5;0;2
2345;53;6;1;22;59;1
6088;186;0;5;21;16;54
10269;259;11;10;6;50;1
16271;202;0;17;20;22;34
33384;160;0;6;20;32;4
15803;123;0;17;6;22;27
44478;34;0;20;7;41;45
27218;240;6;0;19;58;29
10658;153;0;10;18;36;41
988;320;5;0;18;31;0
15179;278;2;16;9;47;43
34218;245;0;7;18;3;51
46328;318;0;22;20;17;39
18428;166;20;20;20;1;21
41888;75;4;17;5;58;41
6717;154;2;6;13;58;54
14816;227;0;15;23;35;13
38024;89;0;12;6;27;5
44066;185;2;19;20;37;35
48134;172;0;25;7;7;29
15084;354;0;16;7;11;56
44248;268;0;20;1;28;20
46103;174;2;22;12;58;18
9005;166;0;8;22;6;14
9727;164;0;9;17;25;55
16060;116;0;17;14;16;49
9226;300;11;9;3;30;23
38988;314;0;13;8;26;16
2270;133;16;1;21;9;45
696;31;3;0;13;11;33
33807;145;0;7;6;42;44
23753;242;0;27;22;15;4
23087;257;0;27;3;3;3
21931;200;0;25;7;14;57
11896;77;0;12;11;50;34
25789;270;0;30;8;18;59
48842;180;2;26;1;40;3
17835;156;10;20;3;49;22
38107;153;4;12;8;43;41
40133;171;0;14;19;17;51
34320;199;0;7;20;33;59
29880;188;1;3;11;22;42
39629;68;0;14;4;31;50
5516;363;0;5;2;31;57
46707;96;2;23;10;16;26
34239;100;2;7;18;34;31
9176;72;12;9;2;26;8
48407;174;4;25;13;41;22
36040;82;3;10;5;1;58
15208;289;4;16;10;35;44
9691;200;0;9;16;47;58
21805;174;4;25;1;55;54
6173;294;4;5;23;57;38
16287;202;1;17;20;49;8
9991;31;3;9;23;47;44
2667;16;6;2;5;13;55
44719;252;0;20;14;54;10
37069;174;1;11;6;12;49
16565;322;0;18;6;23;50
43708;305;0;19;10;52;23
26464;214;0;0;3;35;11
25196;446;0;29;15;5;45
22482;248;0;26;3;13;13
15391;143;0;16;16;6;29
30495;124;12;4;1;15;26
42729;95;6;18;5;54;31
13742;242;2;14;17;24;25
23226;250;0;27;7;27;24
43959;240;0;19;17;33;29
48111;187;0;25;6;25;4
15428;135;2;16;17;1;13
34164;146;1;7;16;56;7
22888;47;0;26;20;19;34
45410;84;2;21;13;29;45
17797;31;0;20;2;24;6
13127;76;0;14;1;49;51
37263;244;0;11;11;42;21
6417;200;0;6;6;7;12
41432;39;3;16;15;29;37
29407;214;2;3;1;7;33
20016;100;0;22;17;24;42
7854;180;0;7;16;18;34
4684;219;0;4;3;13;26
37530;233;14;11;18;22;15
24413;208;4;28;16;50;2
21643;180;11;24;20;50;6
29953;235;7;3;12;48;5
37342;273;7;11;13;43;1
20007;167;0;22;17;8;1
41928;197;0;17;7;8;56
35158;237;0;8;22;24;31
44780;33;0;20;16;40;46
16564;139;0;18;6;22;46
31264;88;0;4;17;41;33
40086;141;14;14;17;57;1
41535;211;0;16;19;6;50
28135;371;6;1;16;53;29
37817;192;0;12;1;20;30
45449;85;0;21;14;34;46
27270;406;12;0;21;11;20
24289;79;0;28;13;32;36
31458;207;0;4;22;22;2
40079;95;2;14;17;46;24
13781;98;8;14;18;24;34
16853;110;4;18;15;59;41
37050;244;0;11;5;45;14
41108;258;0;16;3;17;22
18550;30;5;20;23;14;14
48763;186;0;25;23;32;52
1027;72;0;0;19;24;38
46530;154;2;23;2;34;20
30446;231;0;3;23;36;52
44420;278;0;20;5;46;39
23886;53;0;28;2;22;46
41253;362;0;16;9;3;29
253;202;16;0;4;50;31
15270;236;4;16;12;28;16
1795;170;10;1;11;30;22
27014;288;0;0;15;42;25
36896;231;2;11;2;3;5
48586;189;0;25;18;48;21
333;184;2;0;6;46;11
40285;10;0;14;23;27;26
29832;171;2;3;10;19;48
31576;283;0;5;1;0;43
44850;103;0;20;18;57;42
46128;205;1;22;13;52;38
7092;154;0;6;22;19;11
39995;226;3;14;15;43;25
6174;294;8;5;23;58;18
37901;105;0;12;3;23;29
39512;308;2;14;0;57;17
21899;196;0;25;5;49;19
12349;230;10;13;4;55;20
27135;161;2;0;18;6;9
40107;187;8;14;18;27;52
32110;219;1;5;13;28;48
22326;288;0;25;21;57;53
7167;249;14;7;0;8;56
49357;286;0;26;17;6;54
36832;402;2;11;0;21;4
47307;236;2;24;7;38;42
1967;274;0;1;15;3;29
20118;154;2;22;20;16;26
16521;203;0;18;5;12;40
20523;139;2;23;8;39;30
4447;126;2;3;21;28;23
12443;42;0;13;7;40;56
3860;276;0;3;7;28;4
45124;326;0;21;3;49;1
8115;365;27;7;22;41;38
18210;124;0;20;14;18;51
48074;142;2;25;5;24;12
45441;427;0;21;14;20;30
16624;311;8;18;8;10;37
21486;205;0;24;15;9;18
14433;186;0;15;13;24;27
16300;79;0;17;21;8;51
357;261;5;0;7;13;33
43970;138;0;19;17;48;50
1297;263;0;1;0;57;24
46316;43;0;22;19;53;55
10804;226;0;10;22;25;24
33839;296;0;7;7;30;21
24097;196;2;28;8;11;32
44127;258;2;19;22;4;16
8827;333;0;8;16;57;28
25935;277;1;30;12;55;49
29051;147;2;2;15;53;25
6153;203;0;5;23;28;38
30377;322;15;3;22;0;12
14413;228;0;15;12;51;28
36709;163;6;10;21;19;24
48969;92;0;26;5;29;28
9485;14;6;9;10;49;38
14070;109;2;15;2;42;52
37363;137;0;11;14;5;57
35061;101;4;8;19;15;52
17626;242;0;19;20;56;27
49552;326;0;26;22;50;8
38948;132;0;13;7;14;57
29556;99;2;3;4;14;39
42438;33;0;17;21;28;6
42489;145;0;17;22;57;13
27999;228;2;1;14;3;39
26114;173;0;30;18;22;6
46719;144;2;23;10;58;48
39869;192;0;14;12;30;20
38906;139;1;13;6;11;27
11285;280;0;11;12;52;57
4059;99;2;3;12;12;1
29021;113;0;2;15;3;31
7739;171;4;7;13;47;17
20203;373;2;22;22;39;49
44497;271;0;20;8;20;44
31291;58;23;4;18;17;0
43454;283;2;19;3;0;56
8806;194;0;8;16;24;54
15502;306;0;16;19;50;17
8958;9;0;8;20;45;28
29;131;0;0;0;30;50
37561;205;0;11;18;59;28
41551;340;0;16;19;45;52
38082;319;0;12;7;55;37
27508;144;0;1;2;10;20
11554;127;0;11;22;30;1
1825;188;20;1;12;3;52
6032;168;0;5;19;26;14
35982;239;0;10;3;26;19
41530;392;0;16;18;59;38
24459;226;0;28;17;46;35
11860;149;0;12;10;48;29
43053;38;9;18;14;51;56
35390;344;0;9;6;44;1
20729;159;0;23;14;50;49
13550;284;0;14;11;59;34
49082;157;4;26;8;58;37
19028;294;0;21;13;14;7
11496;34;0;11;20;13;50
1869;214;4;1;13;0;54
33465;247;0;6;22;22;1
27458;26;24;1;1;0;8
14959;240;8;16;3;23;4
1782;243;29;1;11;15;26
24434;59;0;28;17;13;4
17344;258;0;19;8;51;10
984;373;0;0;18;24;56
45507;337;2;21;16;28;35
34615;253;0;8;5;30;56
28035;73;10;1;14;55;57
45922;64;0;22;6;44;50
24589;58;0;28;21;19;34
23107;21;2;27;3;29;34
17301;97;0;19;7;33;28
16838;439;4;18;15;27;19
9892;41;0;9;21;25;38
4122;240;0;3;13;52;40
7585;238;0;7;10;12;29
17876;146;3;20;4;54;20
48018;376;4;25;3;53;8
10218;228;0;10;5;32;30
41030;384;0;16;0;12;18
33011;83;0;6;10;53;23
32967;215;1;6;9;46;48
39821;268;0;14;10;41;52
36425;165;2;10;14;11;6
8158;130;3;7;23;44;22
18773;156;14;21;5;55;27
12579;95;1;13;10;56;52
25800;142;0;30;8;39;42
3554;143;7;3;0;26;46
39025;55;8;13;9;41;10
2981;183;0;2;11;47;1
31677;250;0;5;3;27;30
13783;209;0;14;18;28;25
22074;55;4;25;12;19;32
15362;266;16;16;15;28;44
46354;347;0;22;20;54;41
35899;355;0;10;1;0;22
13959;86;0;14;23;18;9
17643;334;0;19;21;37;18
31123;154;5;4;14;48;32
3408;165;2;2;20;51;49
7798;293;4;7;15;8;28
13910;182;0;14;22;0;15
44568;325;0;20;10;31;37
7882;351;12;7;16;49;15
22773;228;0;26;15;26;23
15498;250;0;16;19;39;37
49764;202;0;27;4;54;33
11622;35;1;12;1;45;49
38118;6;4;12;9;0;19
34431;112;0;7;23;40;58
11117;332;0;11;7;19;2
21578;34;0;24;18;22;58
20441;265;5;23;5;54;11
19807;143;0;22;11;41;10
20575;139;0;23;10;8;8
26042;62;6;30;16;15;52
41543;71;0;16;19;21;57
2906;94;2;2;10;2;16
42234;204;0;17;15;47;8
24727;393;6;29;1;10;15
48802;418;0;26;0;37;20
6844;5;2;6;17;1;58
48888;188;0;26;3;12;46
34870;232;0;8;13;32;36
2068;201;8;1;17;5;11
37894;281;16;12;3;2;41
27489;177;0;1;1;51;4
44223;298;10;20;0;53;17
17813;158;0;20;3;5;49
46868;237;0;23;16;53;6
25432;373;1;29;21;56;24
34399;120;1;7;22;53;2
34887;271;0;8;13;56;51
10924;132;11;11;1;50;50
13706;0;0;14;16;26;28
32697;137;0;6;3;23;52
22428;181;0;26;1;15;32
9755;242;0;9;18;3;46
20020;178;0;22;17;38;43
40266;202;0;14;22;55;35
34835;157;10;8;12;9;23
12592;302;0;13;11;37;8
30247;190;10;3;19;7;59
7150;18;2;6;23;40;1
9450;232;1;9;10;6;3
49220;242;0;26;13;2;36
43654;159;0;19;9;3;36
36276;151;4;10;10;40;59
10773;322;0;10;21;28;59
18462;124;0;20;20;51;22
1611;237;8;1;7;34;8
35742;279;4;9;19;52;29
34741;152;0;8;9;16;12
15099;248;0;16;7;35;33
30772;128;0;4;7;4;18
18301;220;2;20;16;58;8
1345;118;0;1;2;15;39
13627;8;0;14;14;23;35
21103;263;0;24;2;3;10
44931;358;10;20;21;49;31
45569;108;2;21;18;1;29
45154;223;0;21;4;50;34
34774;331;3;8;10;23;2
35322;154;2;9;4;14;46
34115;236;0;7;15;40;15
24715;78;0;29;1;0;3
24766;437;0;29;2;24;17
28722;254;2;2;7;7;53
47330;312;2;24;8;9;26
49281;183;0;26;14;43;45
29415;120;0;3;1;16;50
23224;291;2;27;7;13;21
7807;115;2;7;15;19;10
40890;310;0;15;19;4;37
16306;168;0;17;21;24;43
26082;93;10;30;17;28;52
14785;247;0;15;22;40;28
43598;322;0;19;7;26;19
18638;109;2;21;2;5;58
42700;283;0;18;5;12;40
42796;39;5;18;7;38;11
31468;422;2;4;22;36;21
9574;239;0;9;13;22;58
30050;173;2;3;14;51;6
34922;280;1;8;15;4;48
41811;82;0;17;3;52;45
154;219;0;0;2;48;32
19513;152;0;22;3;19;33
11610;314;0;12;1;19;32
40292;210;0;14;23;48;12
12094;234;0;12;20;8;59
31567;223;11;5;0;49;35
30557;38;0;4;2;24;35
6817;398;0;6;16;19;18
31488;57;0;4;22;57;41
35751;221;0;9;20;4;42
42740;263;2;18;6;1;40
20070;187;4;22;19;9;5
8005;151;0;7;20;1;47
30233;184;0;3;18;39;41
4510;167;0;3;22;48;17
36423;147;0;10;14;3;56
43371;167;4;19;0;47;55
26866;297;0;0;12;28;43
1037;353;0;0;19;31;38
36851;202;3;11;0;49;41
